centralize_hre_title;Centralize the Holy Roman Empire;Centraliser le Saint Empire Romain;Zentralisieren Sie das Heilige Römische Reich;Centralizacja Œwiête Cesarstwo Rzymskie;Centralizar el Sacro Imperio Romano;Centralizzare il Sacro Romano Impero;Centralizálja a Szent Római Birodalom;Centralizujte Svatou øímskou øíši;Centralizálja a Szent Római Birodalom;Centraliseren van het Heilige Roomse Rijk;Centralize o Sacro Império Romano;Öåíòğàëèçîâàòü Ñâÿòóş Ğèìñêóş èìïåğèş;Keskitä Pyhän roomalaisen keisarikunnan;x
form_two_sicilies_desc;It's time to unify the Sicily on this side of the Lighthouse with the one beyond it under one crown;Il est temps d'unifier la Sicile de ce côté du Phare avec celle au-delà, sous une couronne;Es ist an der Zeit, das Sizilien auf dieser Seite des Leuchtturms zu vereinen mit dem über ihm unter einer Krone;Nadszed³ czas, aby ujednoliciæ Sycyliê na tej stronie morska z jednym poza nim pod jednym korony;Es hora de unificar la Sicilia en este lado del faro con el más allá de él bajo una corona;È il momento di unificare la Sicilia al di qua del Faro con quella al di là sotto un'unica corona;Itt az ideje, hogy egyesítse a Szicília ezen az oldalán a világítótorony az egyik mögötte alatt egy korona;Je èas sjednotit Sicílii na této stranì Majáku s tou, která je za ní pod jednou korunou;Itt az ideje, hogy egyesítse a Szicília ezen az oldalán a világítótorony az egyik mögötte alatt egy korona;Het is tijd om de Sicilië verenigen aan deze kant van de Vuurtoren met de ene daarbuiten onder één kroon;É hora de unificar a Sicília neste lado do farol com o que está além dele sob uma coroa;Ïğèøëî âğåìÿ îáúåäèíèòü Ñèöèëèş íà ıòîé ñòîğîíå Ìàÿêà ñ òîé, ÷òî íàõîäèòñÿ çà íåé ïîä îäíîé êîğîíîé;On aika yhtenäistää Sisiliaan tällä puolella majakan kanssa yksi yli sille yksi kruunu;x
mongol_khagan_title;Khagan of the Mongols;Khagan des Mongols;Khagan der Mongolen;Kagan Mongo³ów;Khagan de los mongoles;Khagan dei Mongoli;Khagan a mongolok;Khagan z Mongolù;Khagan a mongolok;Khagan van de Mongolen;Khagan dos mongóis;Êàãàí ìîíãîëîâ;Khagan mongolien;x
mongol_khagan_desc;Our Khan is powerful enough to be known as a Khagan;Notre Khan est assez puissant pour être connu comme un Khagan;Unser Khan ist stark genug, um als Khagan bekannt zu sein;Nasz Khan jest wystarczaj¹co silne, aby byæ znany jako Kagan;Nuestro Khan es lo suficientemente poderoso como para ser conocido como Khagan;Il nostro Khan è abbastanza potente da essere conosciuto come un Khagan;A Khan elég erõs, hogy ismert, mint a Khagan;Náš Khan je dostateènì silnı, aby byl znám jako Khagan;A Khan elég erõs, hogy ismert, mint a Khagan;Onze Khan is krachtig genoeg om bekend te worden als een Khagan;Nosso Khan é poderoso o suficiente para ser conhecido como um Khagan;Íàø Õàí äîñòàòî÷íî ìîùíûé, ÷òîáû åãî íàçûâàëè õàãàíîì;Meidän Khan on tehokas tarpeeksi tunnettu Khagan;x
form_china_title;Reform into China;Réforme en Chine;Reform in China;Zreformowaæ w Chinach;Reforma en China;Riformare la Cina;Reform Kínában;Reforma do Èíny;Reform Kínában;Hervormen in China;Reforma na China;Ğåôîğìà â Êèòàå;Uudistaa Kiinaan;x
form_china_desc;We can claim the Mandate of Heaven as $MONARCHTITLE$ managed to administrate all the Middle States;Nous pouvons prétendre au Mandat du Ciel que $MONARCHTITLE$ a réussi à administrer tous les Etats du Milieu;Wir können das Mandat des Himmels als $MONARCHTITLE$ beanspruchen, alle Mittelstaaten zu verwalten;Mo¿emy ubiegaæ siê o mandat niebios jako $MONARCHTITLE$ uda³o siê administrowaæ ca³y Bliski cz³onkowskie;Podemos reclamar el Mandato del Cielo como $MONARCHTITLE$ administrado para administrar todos los Estados del Medio;Siamo in grado di rivendicare il Mandato del Cielo dato che il $MONARCHTITLE$ è riuscito ad amministrare tutti gli Stati Centrali;Akkor azt mondhatjuk, a mandátum Mennyei $MONARCHTITLE$ sikerült igazgat minden Közép Államok;Mùeme nárokovat Nebeskı mandát, kdy se $ MONARCHTITLE $ podaøilo spravovat všechny Støední státy;Akkor azt mondhatjuk, a mandátum Mennyei $ MONARCHTITLE $ sikerült igazgat minden Közép Államok;We kunnen het mandaat van de Hemel claimen als $MONARCHTITLE$ geslaagd om administreren alle Midden-staten;Podemos reivindicar o Mandato do Céu como $MONARCHTITLE$ conseguiu administrar todos os Estados do Meio;Ìû ìîæåì òğåáîâàòü Ìàíäàòà Íåáåñ, ïîñêîëüêó $MONARCHTITLE$ óïğàâëÿåò âñåìè Ñğåäíèìè Øòàòàìè;Voimme vaatia taivaan mandaatti kuin $MONARCHTITLE$ onnistunut hallinnoimaan Lähi valtioissa;x
form_china_NEWS_SHORT;The peoples of China unified under one flag. To better administrate the new country, the Chinese mandarins decided to split it into cliques;Les peuples de la Chine réunis sous un seul drapeau. Pour mieux administrer le nouveau pays, les mandarins chinois ont décidé de le diviser en cliques;Die Völker China vereinigten sich unter einer Flagge. Um das neue Land besser zu verwalten, beschlossen die chinesischen Mandarine, es in Cliquen zu teilen;Narody Chinach zjednoczone pod jedna flaga. Aby lepiej zarz¹dzaæ nowy kraj, chiñskie mandarynki postanowiliœmy podzieliæ ja na klik;Los pueblos de China se unieron bajo una sola bandera. Para administrar mejor el nuevo país, los mandarines chinos decidieron dividirlo en camarillas;Popoli della Cina unificati sotto unica bandiera. Per gestire meglio il nuovo paese, i mandarini cinesi lo hanno diviso in clique;A népek Kína egységes egy zászló alatt. Jobb kezelése érdekében az új ország, a kínai mandarin döntött bonthatjuk klikkek;Lidé Èíny se sjednotili pod jednou vlajkou. Pro lepší správu nové zemì se èínští mandarínci rozhodli rozdìlit ji na kliky;A népek Kína egységes egy zászló alatt. Jobb kezelése érdekében az új ország, a kínai mandarin döntött bonthatjuk klikkek;De volkeren van China verenigd onder één vlag. Om beter te beheren het nieuwe land, de Chinese mandarijnen besloten om het te splitsen in klieken;Os povos da China unificados sob uma bandeira. Para melhor administrar o novo país, os mandarins chineses decidiram dividi-lo em camaradas;Íàğîäû Êèòàÿ îáúåäèíèëèñü ïîä îäíèì ôëàãîì. ×òîáû ëó÷øå óïğàâëÿòü íîâîé ñòğàíîé, êèòàéñêèå ìàíäàğèíû ğåøèëè ğàçáèòü åå íà êëèêè;Kansat Kiinan yhtenäinen yhden lipun. Paremmin hallinnoimaan uuden maan, Kiinan mandariineja päätti jakaa sen klikkien;x
form_china_NEWS_MEDIUM;The peoples of China have been united under one flag. At the ceremony in Nanking, the unification was proclaimed and new cliques were created to help the administration of the new country.;Les peuples de Chine ont été unis sous un seul drapeau. Lors de la cérémonie à Nankin, l'unification a été proclamée et de nouvelles cliques ont été créées pour aider l'administration du nouveau pays.;Die Völker Chinas sind unter einer Flagge vereinigt worden. Bei der Zeremonie in Nanking wurde die Vereinigung verkündet und neue Cliquen geschaffen, um die Verwaltung des neuen Landes zu unterstützen.;Narody Chiny zosta³y zjednoczone pod jedna flaga. Na ceremonii w Nankinie, unifikacja zosta³a og³oszona i nowe kliki zosta³y stworzone, aby pomóc administracji nowego kraju.;Los pueblos de China han estado unidos bajo una sola bandera. En la ceremonia en Nanking se proclamó la unificación y se crearon nuevas camarillas para ayudar a la administración del nuevo país.;I popoli della Cina sono state unite sotto un'unica bandiera. Alla cerimonia a Nanchino, l'unificazione è stata proclamata e nuove cricche sono stati creati per aiutare l'amministrazione del nuovo paese.;A népek Kínában már egyesült egy zászló alatt. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse az adminisztráció az új ország.;Lidé Èíny byli sjednoceni pod jednou vlajkou. Na slavnostním ceremoniálu v Nankingu bylo slavnostnì sjednoceno sdruení a byly vytvoøeny nové klíce, které by pomohly administraci nové zemì.;A népek Kínában már egyesült egy zászló alatt. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse az adminisztráció az új ország.;De volkeren van China zijn verenigd onder één vlag. Tijdens de ceremonie in Nanking, werd de eenwording verkondigd en nieuwe kliekjes werden gecreëerd om het beheer van het nieuwe land te helpen.;Os povos da China foram unidos sob uma bandeira. Na cerimônia em Nanking, a unificação foi proclamada e novas cliques foram criadas para ajudar a administração do novo país.;Íàğîäû Êèòàÿ îáúåäèíåíû ïîä îäíèì ôëàãîì. Íà öåğåìîíèè â Íàíêèíå áûëî ïğîâîçãëàøåíî îáúåäèíåíèå è ñîçäàíû íîâûå êëèêè, ÷òîáû ïîìî÷ü àäìèíèñòğàöèè íîâîé ñòğàíû.;Kansat Kiina ovat yhdistyneet yhden lipun. Tilaisuudessa Nankingissä yhdistymisen julistettiin ja uusia klikkien luotiin auttamaan hallinnon uudessa maassa.;x
form_china_NEWS_LONG;The lands and peoples of China have once again been united. At the ceremony in Nanking, the unification was proclaimed and new cliques were created to help the administration of the country. This new Asian power seems determined to fight against colonialism and it seems better to befriend it before other nations cut us off from Chinese trade.;Les terres et les peuples de la Chine ont une fois de plus été unis. Lors de la cérémonie à Nankin, l'unification a été proclamée et de nouvelles cliques ont été créées pour aider l'administration du pays. Cette nouvelle puissance asiatique semble dans le niveau de la lutte contre le colonialisme et il semble mieux faire amitié avec elle avant que les autres nations nous coupent des métiers chinois.;Die Länder und Völker Chinas sind wieder vereint. Bei der Zeremonie in Nanking wurde die Vereinigung proklamiert und neue Cliquen geschaffen, um die Verwaltung des Landes zu unterstützen. Diese neue asiatische Macht scheint in der Besoldungsgruppe des kämpfenden Kolonialismus zu sein, und es scheint besser, sich mit ihr zu befassen, bevor andere Nationen uns vom chinesischen Handel abschneiden;Ziemie i narody Chin po raz kolejny zosta³y zjednoczone. Na ceremonii w Nankinie, unifikacja zosta³a og³oszona i nowe kliki zosta³y stworzone, aby pomóc administracji kraju. Ta nowa moc Azji wydaje siê w klasie walki kolonializmu i wydaje siê, lepiej go zaprzyjaŸniæ, zanim inne narody odci¹³ nas od chiñskich transakcji.;Las tierras y los pueblos de China han vuelto a estar unidos. En la ceremonia en Nanking, se proclamó la unificación y se crearon nuevas camarillas para ayudar a la administración del país. Esta nueva potencia asiática parece en grado de luchar contra el colonialismo y parece mejor que se haga amigo de ella antes de que otras naciones nos separen de los oficios chinos.;Le terre e popoli della Cina hanno ancora una volta stati uniti. Alla cerimonia a Nanchino, l'unificazione è stata proclamata e nuove cricche sono stati creati per aiutare l'amministrazione del paese. Questa nuova potenza asiatica sembra in grado di combattere il colonialismo e sembra meglio fare amicizia prima di altre nazioni ci tagliati fuori dalle compravendite cinesi.;A földek és népek Kína ismét hatására egyesült. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse a közigazgatás az ország. Ez az új ázsiai hatalom tûnik fokozatba harc gyarmatosítás és úgy tûnik, jobb, hogy a barátaink elõtt más népek vágott minket kínai kereskedések.;Zemì a národy Èíny byly opìt sjednoceny. Na obøadu v Nankingu bylo sjednocení sdìleno a vytvoøeny nové klíèe, které by pomohly administrativì zemì. Tato nová asijská moc se zdá bıt odhodlána bojovat proti kolonialismu a zdá se, e je lepší se s ní setkávat pøed tím, ne ostatní národy odøíznou nás od èínského obchodu.;A földek és népek Kína ismét hatására egyesült. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse a közigazgatás az ország. Ez az új ázsiai hatalom tûnik fokozatba harc gyarmatosítás és úgy tûnik, jobb, hogy a barátaink elôtt más népek vágott minket kínai kereskedések.;Het land en de volkeren van China hebben opnieuw verenigd. Tijdens de ceremonie in Nanking, werd de eenwording verkondigd en nieuwe kliekjes werden geschapen om de administratie van het land te helpen. Deze nieuwe Aziatische macht lijkt in de rang van vechten kolonialisme en het lijkt beter om het bevriend voordat andere landen ons afgesneden van de Chinese handel.;As terras e os povos da China voltaram a estar unidos. Na cerimônia em Nanking, a unificação foi proclamada e novas camarilhas foram criadas para ajudar a administração do país. Este novo poder asiático parece no grau de combater o colonialismo e parece melhor fazer amizade com ele antes que outras nações nos separem dos negócios chineses.;Çåìëè è íàğîäû Êèòàÿ âíîâü îáúåäèíèëèñü. Íà öåğåìîíèè â Íàíêèíå áûëî ïğîâîçãëàøåíî îáúåäèíåíèå è ñîçäàíû íîâûå êëèêè, ÷òîáû ïîìî÷ü àäìèíèñòğàöèè ñòğàíû. İòà íîâàÿ àçèàòñêàÿ âëàñòü, ïîõîæå, ğåøèëà áîğîòüñÿ ñ êîëîíèàëèçìîì, è, ïîõîæå, ëó÷øå ïîäğóæèòüñÿ ñ íåé, ïîêà äğóãèå ñòğàíû íå îòğåçàëè íàñ îò êèòàéñêîé òîğãîâëè.;Maat ja kansat Kiina ovat jälleen yhdistyneet. Tilaisuudessa Nankingissä yhdistymisen julistettiin ja uusia klikkien luotiin auttamaan hallinnon maan. Tämä uusi Aasian voima tuntuu luokan taistelevat kolonialismin ja se näyttää paremmin ystävystyä ennen muiden kansakuntien leikattu meidät pois Kiinan arvostelusta.;x
form_netherlands_title;The Seven United Provinces;Les sept Provinces-Unies;Die sieben Provinzen;Siedmiu Zjednoczone Prowincje;Las Siete Provincias Unidas;Le Sette Province Unite;A hét Egyesült Tartományok;Sedm sjednocenıch provincií;A hét Egyesült Tartományok;Zeven Verenigde Provinciën;As Sete Províncias Unidas;Ñåìü ñîşçíûõ ïğîâèíöèé;Seitsemän United maakunnat;x
form_netherlands_desc;We are the rightful heirs of the Seven Batavian Provinces;Nous sommes les héritiers légitimes des sept provinces de Batavie;Wir sind die rechtmäßigen Erben der sieben batavischen Provinzen;Jesteœmy prawowitymi dziedzicami Siedmiu batawii prowincjach;Somos los legítimos herederos de las Siete Provincias de Batavia;Noi siamo gli eredi legittimi delle sette province batave;Mi vagyunk a jogos örökösei a Hét Tartományok Batavian;Jsme oprávnìnımi dìdicemi sedmi Batavskıch provincií;Mi vagyunk a jogos örökösei a Hét Tartományok Batavian;Wij zijn de rechtmatige erfgenamen van de Zeven Provinciën Bataafse;Somos os legítimos herdeiros das Sete Províncias Batávicas;Ìû ÿâëÿåìñÿ çàêîííûìè íàñëåäíèêàìè ñåìè áàòàâñêèõ ïğîâèíöèé;Olemme laillinen perilliset Seitsemän batavia maakunnat;x
form_belgium_title;The $MONARCHTITLE$ of the Belgians;Le $MONARCHTITLE$ des Belges;Die $MONARCHTITLE$ der Belgier;$MONARCHTITLE$ Belgów;El $MONARCHTITLE$ de los belgas;Il $MONARCHTITLE$ dei Belgi;A $MONARCHTITLE$ Belgák;$MONARCHTITLE$ Belgièanù;A $MONARCHTITLE$ Belgák;De $MONARCHTITLE$ der Belgen;O $MONARCHTITLE$ dos belgas;$MONARCHTITLE$ áåëüãèéöåâ;$MONARCHTITLE$ of belgialaiset;x
form_belgium_desc;Our $MONARCHTITLE$ managed to unite together all the Southern Provinces into one entity;Notre $MONARCHTITLE$ a réussi à réunir toutes les provinces du Sud en une seule entité;Unser $MONARCHTITLE$ schaffte es, alle südlichen Provinzen zu einer Einheit zusammenzufassen;Nasz $MONARCHTITLE$ uda³o siê jednoczyæ wszystkie po³udniowych prowincjach w jedna jednostkê;Nuestro $MONARCHTITLE$ logró unir a todas las Provincias del Sur en una sola entidad;Il nostro $MONARCHTITLE$ è riuscito a riunire insieme tutte le province del sud in un unico soggetto;A $MONARCHTITLE$ sikerült egyesíteni együtt a déli tartományokban egyetlen egység;Naše $MONARCHTITLE$ se podaøilo spojit všechny jiní provincie do jedné entity;A $MONARCHTITLE$ sikerült egyesíteni együtt a déli tartományokban egyetlen egység;Onze $MONARCHTITLE$ geslaagd om alle zuidelijke provincies te verenigen in één entiteit;Nosso $MONARCHTITLE$ conseguiu unir todas as Províncias do Sul em uma única entidade;Íàøå $MONARCHTITLE$ óäàëîñü îáúåäèíèòü âñå Şæíûå ïğîâèíöèè â åäèíîå öåëîå;Meidän $MONARCHTITLE$ onnistui yhdistää yhteen kaikki Etelä maakunnat yhdeksi kokonaisuudeksi;x
form_spain_title;The end of the Reconquista;La fin de la Reconquista;Das Ende der Reconquista;Koniec rekonkwisty;El final de la Reconquista;La fine della Reconquista;A végén a Reconquista;Konec rekonquisty;A végén a Reconquista;Het einde van de Reconquista;O fim da Reconquista;Êîíåö Ğåêîíêèñòû;Lopussa Reconquista;x
form_spain_desc;There are no more moors in Iberia and the old fragmented kingdoms have been finally reunited;Il n'y a plus de landes en Ibérie et les anciens royaumes fragmentés ont finalement été réunis;Es gibt keine Moore in Iberia und die alten zersplitterten Reiche sind endlich wieder vereinigt worden;Nie ma wiêcej cumuje w Iberii i starych rozdrobnionych królestw zosta³y ostatecznie spotka³y siê ponownie;Ya no hay páramos en Iberia y los viejos reinos fragmentados han sido finalmente reunidos;Non ci sono altri Mori in Iberia e vecchi regni frammentati sono stati finalmente riuniti;Nincs több lápok Iberia és a régi töredezett királyságok már végre újra összeállt;V Iberii u nejsou další zálivy a staré roztøíštìné království se koneènì spojily;Nincs több lápok Iberia és a régi töredezett királyságok már végre újra összeállt;Er zijn geen heidevelden meer op het Iberisch schiereiland en de oude gefragmenteerde koninkrijken zijn eindelijk herenigd;Não existem mais charnecas na Península Ibérica e os antigos reinos fragmentados foram finalmente reunidos;Â Èáåğèè áîëüøå íåò áîëîò, è ñòàğûå ôğàãìåíòèğîâàííûå êîğîëåâñòâà, íàêîíåö, âîññîåäèíèëèñü;Ei ole enää moors Iberian ja vanha hajanainen kuningaskunnat on vihdoin yhdistynyt uudelleen;x
form_ukraine_title;The Great Rus of Kiev;La Grande Rus de Kiev;Der Große Rus von Kiew;Wielki Rus Kijów;La Gran Rus de Kiev;La grande Rus di Kiev;A Nagy Rus Kijev;Velkı Rus Kyjev;A Nagy Rus Kijev;De Grote Rus van Kiev;A Grande Rus de Kiev;Âåëèêàÿ Ğóñü Êèåâà;The Great Rus Kiova;x
form_ukraine_desc;In the middle ages, Rurik, a Viking adventurer, founded the Kievan Rus. We can reclaim his glorious heritage;Au moyen âge, Rurik, un aventurier viking, a fondé la Rus Kievan. Nous pouvons récupérer son glorieux héritage;Im Mittelalter gründete Rurik, ein Wikinger-Abenteurer, den Kievan Rus. Wir können sein herrliches Erbe zurückfordern;W œredniowieczu, Rurik, awanturnik Viking, za³o¿y³ Rusi Kijowskiej. Mo¿emy odzyskaæ swoje chwalebne dziedzictwo;En la Edad Media, Rurik, un aventurero vikingo, fundó la Rus de Kievan. Podemos recuperar su gloriosa herencia;Nel Medioevo, Rurik, un avventuriero vichingo, fondò la Rus 'di Kiev. Siamo in grado di reclamare la sua eredità gloriosa;A középkorban, Rurik, a Viking kalandor, megalapította a Kijevi Rusz. Mi lehet visszaigényelni dicsõséges öröksége;Ve støedovìku zaloil Rurik, vikingskı dobrodruh, Kyjevskou Rus. Mùeme získat své slavné dìdictví;A középkorban, Rurik, a Viking kalandor, megalapította a Kijevi Rusz. Mi lehet visszaigényelni dicsõséges öröksége;In de middeleeuwen, Rurik, een Viking avonturier, oprichter van het Kievse Rijk. We kunnen zijn glorierijke erfgoed terug te winnen;Na Idade Média, Rurik, um aventureiro viking, fundou a Rússia Kievan. Podemos recuperar sua gloriosa herança;Â ñğåäíèå âåêà Ğşğèê, àâàíòşğèñò-âèêèíã, îñíîâàë Êèåâñêóş Ğóñü. Ìû ìîæåì âåğíóòü åãî ñëàâíîå íàñëåäèå;Keskiajalla, Rurik, Viking seikkailija perustettu Kiovan Rus. Voimme takaisin hänen kunniakas perintö;x
